Period;Seller;SKU;Revenue;Sales;Balance;Turnover days;Base price;Basic Sale;Basic Sale Price;Price with WB wallet;Comments;Days in website;Search cpm avg
year;ИП Sunmoon;1269794639;0;0;0;0;21500;255;7647;7492;1;25;0
year;ИП Tumar;319654725;0;0;0;0;1700;10;1519;1488;0;2;320
year;ИП Xdm;274694936;0;0;0;0;1400;5;1317;1290;0;89;0
year;ИП Yergeshpayev;8015451538;561676;368;139;200;75872;862;53148;50893;12095;5495;238
year;ИП Yernat Lux;320178144;0;0;0;0;46000;95;2163;2119;0;2;0
year;ИП АН А А;3763481314;37469;33;1;2;30597;534;19290;18897;618;2494;0
year;ИП Абдигали;476198635;347274;250;0;0;10000;136;3156;3092;679;454;0
year;ИП Абдукаримова;320238059;0;0;0;0;2500;5;2352;2304;0;2;0
year;ИП Абдукеримова Н М;4625887597;0;0;0;0;34300;515;24399;23903;0;2750;0
year;ИП Абдулгамидов А Х;316062541;0;0;0;0;1800;47;937;918;36;5;0
year;ИП Абдулманапов А П;37790326779;5599;5;2;-2;274755;5026;180518;157004;20;26155;0
year;ИП Абдулманапов Ш П;4919061333;0;0;0;0;32620;286;26843;26298;0;448;0
year;ИП Абильтаева;1551451607;0;0;0;0;13400;344;6823;6684;0;2107;0
year;ИП Абрамов Антон Владимирович;770628564;165738;119;474;18637;6200;93;4252;4166;10;440;0
year;ИП Абрамова О П;4975056167;23065100;19711;2610;1284;36350;613;25744;25219;3692;6334;0
year;ИП Абубакиров;3973550420;1836007;880;170;20;67000;902;28826;28239;200;2981;0
year;ИП Агабегова С Ш;4944299824;14642;12;2;-2;37800;862;20334;19917;29;2609;0
year;ИП Адухов;4368956925;0;0;0;0;48000;590;33791;32118;1;6276;0
year;ИП Азаев Р З;754353925;0;0;0;0;7700;128;4341;4253;3;541;0
year;ИП Айгерим;765193012;0;0;0;0;4850;116;2956;2896;1;483;0
year;ИП Алдарова;244464392;0;0;0;0;5000;70;1476;1446;0;197;0
year;ИП Алекса;487910043;0;0;0;0;3500;79;2118;911;0;400;0
year;ИП Алескерова С А;676001559;0;0;0;0;5800;84;4176;4091;0;806;0
year;ИП Алиев А М;3337644254;1704;1;0;0;26050;272;21192;20758;10;4445;0
year;ИП Алиева З А;3522421400;109444;80;0;0;30710;547;20098;19669;353;4940;0
year;ИП Алиева З З;1638723690;13293;11;3;8;21270;438;7904;7743;20;1666;0
year;ИП Алиева И Г;10482943926;1394;1;1;-1;69710;775;54493;53455;12;2218;0
year;ИП Алиханов М Н;257896750;0;0;0;0;2000;41;1166;1142;0;147;0
year;ИП Алхайров;1165866056;28375;21;0;0;25000;341;7854;7695;22;1220;0
year;ИП Алхайрова;2109199084;19899;15;0;0;23590;472;10902;10679;1760;2187;0
year;ИП Амина;1076339235;0;0;0;0;10340;66;8613;8439;92;438;0
year;ИП Андрей Ким;5795082198;51961;38;1;4;44439;729;29825;29219;251;3002;0
year;ИП Арайлым;1034075356;0;0;0;0;9100;202;3908;3828;5;568;0
year;ИП Арчаков Р А;212171635;0;0;0;0;2300;28;1656;1622;0;341;0
year;ИП Асылова;4432698825;11146;7;1;-1;32550;114;30241;29628;76;3678;0
year;ИП Ахматгириева А С;611395267;0;0;0;0;5800;91;3136;3073;0;77;0
year;ИП Ахмедов А М;6499881053;110958;86;2;101;109380;1484;43943;43052;898;6016;0
year;ИП Ахмедова;3961998276;76380;55;0;0;39900;939;22102;21943;157;9340;0
year;ИП Ахмедова У Д;263238969;0;0;0;0;3000;55;1335;1308;1;129;0
year;ИП Ахмедова Э А;560696529;226648;261;0;0;5914;143;2904;893;90;1336;0
year;ИП Ахметова;557390130;0;0;0;0;14000;156;3112;3038;3;223;0
year;ИП Ачкасов Максим Геннадьевич;226679324;585636;591;0;0;3000;74;777;761;83;274;0
year;ИП Аяла;1202258293;3048;2;0;0;30000;312;11166;10982;2;1089;0
year;ИП Бабаков М А;1065737641;0;0;0;0;19888;230;8277;8109;0;432;0
year;ИП Бабкина С А;789869722;0;0;0;0;13903;135;7610;7381;0;381;0
year;ИП Байсейтова;1385240264;16359;13;0;0;36000;486;6694;6558;29;1557;0
year;ИП Балиев А Г;1197793282;1316;1;0;0;9050;126;6702;6566;5;1100;0
year;ИП Балнур;220105481;0;0;0;0;5995;43;3384;3316;0;307;0
year;ИП Баринова Т Ю;519942520;0;0;0;0;3080;56;2217;2172;0;257;0
year;ИП Бармина И С;1401172205;3694;3;0;0;10150;258;5663;5547;36;1483;0
year;ИП Бахтияров Амиран Магомедович;4966972190;2455;1;0;0;100640;650;75043;0;2;11258;0
year;ИП Бачурина Е А;1731398615;0;0;0;0;12600;196;8457;8285;0;401;0
year;ИП Бейбит;316609498;0;0;49;-1;4500;59;1814;1777;0;1;138
year;ИП Бейсембаева;303673545;2200457;898;80;3;4000;32;2707;2652;147;43;0
year;ИП Бейспекова;1234806919;3152;3;1;8;10750;198;6514;6380;15;948;0
year;ИП Бекназарова A Э;1545535389;0;0;0;0;8700;191;5777;3860;0;903;0
year;ИП Белов Г В;520388708;0;0;0;0;3080;56;2217;2172;0;257;0
year;ИП Бехтер Н Ю;6342176984;0;0;0;0;129573;912;77225;75669;0;1951;0
year;ИП Бозжаев;287196554;0;0;0;0;2200;21;1717;1682;0;66;0
year;ИП Болодис А С;744160964;1731;2;0;0;5620;116;3440;3369;1;585;0
year;ИП Борисенко Елена Владимировна;7257196333;7313503;4859;656;383;112773;1814;62118;55072;1978;25279;1402
year;ИП Борисова Елена Николаевна;6155832153;40385;20;27;377;90655;1172;43266;42388;267;2796;0
year;ИП Ботов Н В;2780008376;8792296;6337;1176;494;42183;724;18374;18000;1464;4392;2261
year;ИП Бурянина М А;785854657;237151;185;0;0;14566;229;5828;5710;151;1645;0
year;ИП Бутаев А М;639194691;0;0;0;0;4500;32;3780;3704;0;4;0
year;ИП Варичкина О Н;3149618915;187;1;0;0;16600;369;10595;10378;3;704;0
year;ИП Власов С В;3546347572;3476511;2881;1318;626;56935;1039;21608;21166;1420;5521;1895
year;ИП Воронов Константин Станиславович;523412518;0;0;0;0;4613;56;3320;3253;0;269;0
year;ИП Воронова Мария Александровна;523412467;0;0;0;0;4613;32;3874;3796;0;269;0
year;ИП Гаджиев М Х;9202085841;55757;42;4;2;70000;1177;46626;45677;86;5648;0
year;ИП Газиев О М;303183358;0;0;0;0;1800;26;1315;1288;0;44;0
year;ИП Газимагомедов М А;2169489194;0;0;0;0;14500;299;9015;8831;0;831;0
year;ИП Гаммер Л А;203843903;17584;13;0;0;1600;28;1152;1128;2;351;0
year;ИП Гарьянова Т Ю;974392395;0;0;0;0;14500;181;7842;7683;0;800;0
year;ИП Гаухар;701729646;0;0;0;0;11380;199;3772;3695;4;550;0
year;ИП Гахармани А В;1353270818;0;0;0;0;16500;224;11877;11635;2;4358;0
year;ИП Голдобин М Д;4270176868;0;0;0;0;152401;633;87751;85112;0;1052;0
year;ИП Горяной Д В;7989475100;0;0;0;0;80505;891;56621;55473;1;4217;0
year;ИП Гринина А С;1162578165;23453;18;27;421;14000;257;4626;4531;20;244;0
year;ИП Гринь О Г;548889197;0;0;0;0;4689;118;1906;1867;0;190;0
year;ИП Гулназ М;591231847;343967;199;0;0;6900;66;4536;4445;90;116;0
year;ИП Гуревич Евгений Семенович;33005343;146543;115;0;0;7490;129;2628;2575;104;2918;0
year;ИП Давудов Н Э;312911968;0;0;0;0;2170;33;1437;1408;0;15;0
year;ИП Давудова З Н;312186304;0;0;0;0;2300;20;1835;1798;0;14;0
year;ИП Дария;978731891;0;0;0;0;20000;269;6408;6277;0;787;0
year;ИП Дейнега Ю В;1477716880;0;0;0;0;18515;356;5329;5220;1;284;0
year;ИП Джамуева Д Б;192065710;0;0;0;0;2580;40;1541;1510;0;428;0
year;ИП Джаназаров;663656787;0;0;0;0;10650;215;2938;2878;2;908;0
year;ИП Дженетов З Б;1952573893;1150;1;0;0;16330;201;11631;11396;6;621;0
year;ИП Джугло И Е;2186889443;4677;3;609;370;52388;544;11047;10822;0;7;0
year;ИП Дзахмишев И А;462670757;55459;42;0;0;8000;140;2360;2312;34;462;0
year;ИП Дин Ислам;6694371403;22100;13;3;69;61400;303;54291;53194;692;7692;0
year;ИП Динисламова Ж Н;530606642;0;0;0;0;6700;123;2454;2404;0;240;0
year;ИП Дорожко;562670406;1349;1;0;0;4588;10;4315;4228;4;199;0
year;ИП Дрим;479354284;0;0;0;0;6800;142;1935;0;0;438;0
year;ИП Дуйсенбекова;437867887;0;0;0;0;5745;18;5227;0;0;626;0
year;ИП ЕЛ Онды;1604389177;0;0;0;0;11245;45;10139;9934;0;2;0
year;ИП Елгондиева;1923286196;0;0;0;0;11700;158;8450;8277;0;10;0
year;ИП Елгонды;1001068143;0;0;0;0;11900;265;3943;3823;0;705;0
year;ИП Елеуова;633833497;0;0;0;0;7700;104;3621;3548;0;15;0
year;ИП Ермакова М М;7241922560;707;1;2;-2;79483;889;56277;55136;1;7209;0
year;ИП Ернар;241179389;0;0;0;0;4460;27;3213;0;0;202;0
year;ИП Ешиль К В;1793874647;0;0;0;0;19810;415;8073;7908;0;1051;0
year;ИП Жапарова Гулайым Рахатбековна;1857374416;0;0;0;0;15050;306;8337;8166;0;831;0
year;ИП Жапарова М Т;582553405;0;0;0;0;10500;158;2172;2128;0;128;0
year;ИП Жасулан;234952486;0;0;0;0;4990;24;3792;0;0;242;0
year;ИП Желнин Е П;1779848987;0;0;0;0;24893;288;12828;12568;0;330;0
year;ИП Женишбекова А Ж;7412445632;11535293;8466;1311;368;70807;1293;35854;33794;4860;2942;946
year;ИП Жеткерген;1131696783;0;0;0;0;10010;243;5055;4951;0;1398;0
year;ИП Жумаханов;6028722235;0;0;0;0;47181;631;31065;30437;1;135;0
year;ИП Зайнелканов;636860304;0;0;0;0;14000;135;4477;4386;0;6;0
year;ИП Захаренко Е Н;248338970;0;0;0;0;2500;55;1113;0;0;182;0
year;ИП Захарова О В;6116130688;0;0;0;0;85902;1261;41901;41082;3;4830;0
year;ИП Ибрагимов К Ш;463769036;0;0;1;-1;3011;32;2528;2476;0;498;0
year;ИП Ибраимова;7155148083;434358;169;1;6;78491;196;72608;71146;2692;3626;0
year;ИП Ивкин Данил Александрович;468625488;698192;649;121;148;6100;123;3539;3467;169;1791;238
year;ИП Идрисова Н Ш;3783011871;1296;1;0;0;29250;369;21384;20949;5;1857;0
year;ИП Ильясова П М;58565909043;972938;847;11;80;789670;6468;587127;353903;1696;71535;714
year;ИП Иманмурзаева Ж М;1492228644;0;0;0;0;12249;127;9256;9069;0;298;0
year;ИП Исабекова;6837372611;0;0;1;-1;425790;1005;81262;79624;0;2510;0
year;ИП Кабылсеит;259599165;0;0;0;0;1680;9;1513;0;0;143;0
year;ИП Казбек;2465412024;9570;5;1;-1;58000;607;18469;18095;288;1050;138
year;ИП Кайыржан;690107801;0;0;0;0;4600;155;2198;2152;2;787;0
year;ИП Калистрина В А;933591022;33231;17;269;453;14150;179;5671;5556;645;36;435
year;ИП Камбаралиев;3510186991;2224663;986;228;460;203455;823;65302;63992;1461;551;661
year;ИП Канатбаев Б А;316385378;0;0;0;0;3000;50;1495;1465;0;8;0
year;ИП Канищева А С;1365662718;4758;3;1;-1;11772;130;9201;9013;7;1565;0
year;ИП Каримбердиев;873264143;2679;1;0;0;13110;25;12331;12082;1;2565;0
year;ИП Каримов Р Ж;484510533;57967;53;0;0;7400;142;2130;2086;5;368;0
year;ИП Карлыгаш;2347205838;1084273;915;122;114;92965;863;14878;14575;839;3700;0
year;ИП Касулин А А;839474070;0;0;0;0;13347;93;9070;8888;0;269;0
year;ИП Касымхан;412974381;0;0;0;0;14000;172;1915;1875;0;727;0
year;ИП Ким;4302380016;2210114;1018;161;23;36468;565;24185;23693;1968;2714;0
year;ИП Ким Е А;1255037460;0;0;0;0;8155;78;6460;6329;6;52;1531
year;ИП Кисслер К;5966490092;2206;2;0;0;131000;2116;47742;2909;8;19061;0
year;ИП Ковальчук Анастасия Александровна;4731977367;3568164;2622;143;358;111690;1809;58515;55968;2579;28696;0
year;ИП Когай;2458835606;950;1;0;0;27080;267;18054;17687;5;712;0
year;ИП Коншина Карина Владимировна;1182770141;590680;347;814;372;17300;204;8399;8230;2625;98;1288
year;ИП Корбут А Д;1515922073;0;0;0;0;18390;236;9603;9409;0;200;0
year;ИП Корнев А В;152767312;1594;1;0;0;2628;46;1400;1372;0;248;0
year;ИП Коростин В О;6383340729;8721;22;0;0;44387;640;30653;30030;152;1967;0
year;ИП Косметиста;5390064670;862683;751;36;39;58622;1159;25972;25442;346;3870;0
year;ИП Костров А С;1032554403;742850;556;245;260;9250;258;3226;3159;156;348;250
year;ИП Котова Х В;241819798;0;0;0;0;2500;80;499;489;2;210;0
year;ИП Кравец А С;1936084116;0;0;0;0;12958;158;10364;0;0;1540;0
year;ИП Кузина Зоя Тимофеевна;483802925;0;0;0;0;4350;92;2335;2288;6;412;0
year;ИП Кузьмин Н А;214930316;473;1;3;480;969;51;472;462;1;328;0
year;ИП Куликова Е А;525765396;0;0;0;0;4000;59;2802;2745;0;252;0
year;ИП Куртымов Д С;2126958161;82337;45;0;0;19230;356;10462;10249;304;1005;0
year;ИП Кучумов А К;217671987;9385;7;0;0;1700;28;1224;1199;23;317;0
year;ИП Кучумова Г Г;217671951;13216;11;0;0;2000;35;1296;1270;13;317;0
year;ИП ЛИ Ю В;563665583;97729;74;0;0;4900;84;3528;3456;17;1336;0
year;ИП Ландик Г А;1802066771;100298;92;22;105;11699;186;8473;8301;122;1054;0
year;ИП Лесбеков;868885139;996;1;0;0;8900;165;5027;0;1;1279;0
year;ИП Лигай;322585596;0;0;0;0;4187;129;1542;1510;4;1248;0
year;ИП Лигай Л Г;1719825272;151506;115;26;40;21794;389;7617;7462;49;431;150
year;ИП Липунова Э Р;1919761309;0;0;0;0;66520;500;10931;10710;0;12;0
year;ИП Липчак М С;1758508911;523190;406;193;716;18790;282;11240;11012;296;1387;0
